,PMID,PMID_link,PMID_web,PMC,PMC_link,PMC_web
0,31201918,https://pubmed.ncbi.nlm.nih.gov/31201918/,True,PMC6849399,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6849399/,True
1,31528180,https://pubmed.ncbi.nlm.nih.gov/31528180/,True,PMC6743147,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6743147/,True
2,31951584,https://pubmed.ncbi.nlm.nih.gov/31951584/,True,PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC/,False
3,32259480,https://pubmed.ncbi.nlm.nih.gov/32259480/,True,PMC7136867,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7136867/,True
4,32325117,https://pubmed.ncbi.nlm.nih.gov/32325117/,True,PMC7327511,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7327511/,True
5,32328416,https://pubmed.ncbi.nlm.nih.gov/32328416/,True,PMC7175333,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7175333/,True
6,32359470,https://pubmed.ncbi.nlm.nih.gov/32359470/,True,PMC7335735,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7335735/,True
7,32397625,https://pubmed.ncbi.nlm.nih.gov/32397625/,True,PMC7349346,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7349346/,True
8,32398876,https://pubmed.ncbi.nlm.nih.gov/32398876/,True,PMC8183627,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183627/,True
9,32414781,https://pubmed.ncbi.nlm.nih.gov/32414781/,True,PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC/,False
10,32464097,https://pubmed.ncbi.nlm.nih.gov/32464097/,True,PMC7255347,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7255347/,True
11,32473109,https://pubmed.ncbi.nlm.nih.gov/32473109/,True,PMC7251400,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7251400/,True
12,32493826,https://pubmed.ncbi.nlm.nih.gov/32493826/,True,PMC7394900,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7394900/,True
13,32568362,https://pubmed.ncbi.nlm.nih.gov/32568362/,True,PMC7398169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7398169/,True
14,32582220,https://pubmed.ncbi.nlm.nih.gov/32582220/,True,PMC7296151,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7296151/,True
15,32585083,https://pubmed.ncbi.nlm.nih.gov/32585083/,True,PMC7361222,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7361222/,True
16,32661015,https://pubmed.ncbi.nlm.nih.gov/32661015/,True,PMC8485741,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8485741/,False
17,32661141,https://pubmed.ncbi.nlm.nih.gov/32661141/,True,PMC7459568,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7459568/,True
18,32666572,https://pubmed.ncbi.nlm.nih.gov/32666572/,True,PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC/,False
19,32670279,https://pubmed.ncbi.nlm.nih.gov/32670279/,True,PMC7329983,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7329983/,True
20,32679815,https://pubmed.ncbi.nlm.nih.gov/32679815/,True,PMC7404052,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7404052/,True
